 time t = 0
 244939489.397 0 0 41148.3848 2  14
 699760294.387 0 0 41148.3848 2  15
 2816523296.87 0 0 41148.3848 2  16
 2769020153.41 0 0 41148.3848 2  17
 time t = 3.05361609619e-009
 57829585.7785 0 -1 41148.3848 15  2
 51103457.7475 0 -1 41148.3848 15  3
 204412089.407 0 -1 41148.3848 15  4
 12663.4829794 0 0 41148.3848 15  2
 2506813811.78 0 0 41148.3848 15  3
 1576.21134403 0 0 41148.3848 15  4
 time t = 3.43935685175e-009
 6992843.28438 0 -1 10000 3  0
 1113938184.94 0 0 41148.3848 3  6
 1634312366.38 0 0 41148.3848 3  7
 1851632256.75 0 0 41148.3848 3  8
 1416992475.94 0 0 41148.3848 3  9
 6827679.22624 0 0 41148.3848 3  13
 1146965659.99 0 0 41148.3848 3  14
 496995802.312 0 0 41148.3848 3  15
 3011787159.39 0 0 41148.3848 3  16
 1866416689.18 0 0 41148.3848 3  17
 time t = 3.51498959459e-009
 75672674.0817 0 -1 41148.3848 16  2
 81000187.5722 0 -1 41148.3848 16  3
 156672861.634 0 -1 41148.3848 16  4
 1204506691.88 0 0 41148.3848 16  2
 1300488559.55 0 0 41148.3848 16  3
 2504075498.84 0 0 41148.3848 16  4
 time t = 4.01498959459e-009
 313345378.583 0 -1 41148.3848 16  3
 601935.342344 0 0 41148.3848 16  2
 2504544395.74 0 0 41148.3848 16  3
 320.446792682 0 0 41148.3848 16  4
 time t = 4.0601371721e-009
 6992843.28438 0 -1 10000 3  0
 1113678980.46 0 0 41148.3848 3  6
 1633932074.96 0 0 41148.3848 3  7
 1633932075 0 0 41148.3848 3  8
 1633932074.98 0 0 41148.3848 3  9
 484405832.234 0 0 41148.3848 3  13
 3012310508.89 0 0 41148.3848 3  14
 18076245.4173 0 0 41148.3848 3  15
 1448551699.44 0 0 41148.3848 3  16
 1564129459.85 0 0 41148.3848 3  17
 time t = 4.07295251916e-009
 54246848.9423 0 -1 41148.3848 16  2
 51820609.2555 0 -1 41148.3848 16  3
 207277671.29 0 -1 41148.3848 16  4
 42395.2943325 0 0 41148.3848 16  2
 2504520127.72 0 0 41148.3848 16  3
 6.99305410377 0 0 41148.3848 16  4
 time t = 4.57295251916e-009
 42681416.0809 0 -1 41148.3848 16  2
 113991445.562 0 -1 41148.3848 16  3
 156672861.645 0 -1 41148.3848 16  4
 874286565.48 0 0 41148.3848 16  2
 1629715132.93 0 0 41148.3848 16  3
 2445666650.49 0 0 41148.3848 16  4
 time t = 4.70830894299e-009
 6992843.27789 0 -1 10000 4  0
 1887094895.05 0 0 41148.3848 4  6
 80.7340119384 0 0 41148.3848 4  7
 2361001436.34 0 0 41148.3848 4  8
 251695096.85 0 0 41148.3848 4  13
 1914901698.76 0 0 41148.3848 4  14
 83773881.4596 0 0 41148.3848 4  16
